unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1633622400000,2021-10-07 16:00:00,ETH/USDT,3587.54,3610.80,3557.65,3599.14,70451.183,252593727.25462,108208
1633618800000,2021-10-07 15:00:00,ETH/USDT,3563.70,3605.53,3556.00,3587.53,77854.010,278985757.08378,111978
1633615200000,2021-10-07 14:00:00,ETH/USDT,3634.50,3640.79,3520.00,3563.70,198735.849,711407334.67731,223713
1633611600000,2021-10-07 13:00:00,ETH/USDT,3570.60,3649.61,3556.00,3634.81,151856.459,549151314.42103,166456
1633608000000,2021-10-07 12:00:00,ETH/USDT,3578.68,3592.67,3540.36,3570.26,82704.489,295152841.89511,109388
1633604400000,2021-10-07 11:00:00,ETH/USDT,3555.01,3587.92,3554.34,3578.67,53791.373,192150463.52773,84428
1633600800000,2021-10-07 10:00:00,ETH/USDT,3569.06,3578.00,3543.33,3555.01,51451.712,183134429.11775,84754
1633597200000,2021-10-07 09:00:00,ETH/USDT,3593.47,3595.00,3535.62,3569.23,103827.813,370039622.89334,135548
1633593600000,2021-10-07 08:00:00,ETH/USDT,3616.76,3621.00,3580.00,3593.47,85125.199,306624884.42453,115013
1633590000000,2021-10-07 07:00:00,ETH/USDT,3532.74,3620.00,3505.97,3617.07,116749.199,415935487.89125,152486
1633586400000,2021-10-07 06:00:00,ETH/USDT,3541.54,3554.90,3522.00,3532.74,38776.818,137220799.39746,66079
1633582800000,2021-10-07 05:00:00,ETH/USDT,3544.60,3547.70,3516.00,3541.55,45441.758,160451633.25897,71773
1633579200000,2021-10-07 04:00:00,ETH/USDT,3522.36,3559.00,3518.22,3544.61,34414.318,121887005.69163,63798
1633575600000,2021-10-07 03:00:00,ETH/USDT,3534.61,3545.36,3512.01,3522.36,35952.494,126839463.05619,65833
1633572000000,2021-10-07 02:00:00,ETH/USDT,3518.71,3562.52,3514.30,3534.61,60662.987,214665641.36143,89045
1633568400000,2021-10-07 01:00:00,ETH/USDT,3542.13,3553.50,3470.37,3518.71,123973.270,435004899.74168,153776
1633564800000,2021-10-07 00:00:00,ETH/USDT,3576.90,3578.04,3526.43,3542.27,100247.565,355907493.89949,130017
1633561200000,2021-10-06 23:00:00,ETH/USDT,3590.65,3612.00,3575.00,3576.85,60696.937,218071842.82183,90425
1633557600000,2021-10-06 22:00:00,ETH/USDT,3587.53,3601.75,3573.76,3590.65,34971.223,125476229.41182,66055
1633554000000,2021-10-06 21:00:00,ETH/USDT,3564.42,3593.16,3551.02,3587.53,39241.571,140153194.93522,65398
1633550400000,2021-10-06 20:00:00,ETH/USDT,3590.90,3602.67,3554.73,3564.41,48850.153,175026753.12231,79959
1633546800000,2021-10-06 19:00:00,ETH/USDT,3586.67,3601.49,3573.37,3590.90,34578.519,124025956.23068,58094
1633543200000,2021-10-06 18:00:00,ETH/USDT,3582.29,3615.22,3582.29,3586.68,45113.143,162299762.93011,73630
1633539600000,2021-10-06 17:00:00,ETH/USDT,3601.91,3603.51,3565.64,3582.28,51489.722,184432130.55718,84737
1633536000000,2021-10-06 16:00:00,ETH/USDT,3617.83,3626.59,3575.63,3601.91,88353.652,317859787.89995,129092
1633532400000,2021-10-06 15:00:00,ETH/USDT,3601.96,3638.00,3590.01,3617.83,147060.161,531556715.32552,181495
1633528800000,2021-10-06 14:00:00,ETH/USDT,3583.75,3606.08,3551.18,3601.96,136303.439,487527352.99534,166455
1633525200000,2021-10-06 13:00:00,ETH/USDT,3457.60,3633.50,3443.48,3584.22,440818.006,1566685802.44986,494746
1633521600000,2021-10-06 12:00:00,ETH/USDT,3382.68,3462.00,3373.07,3457.57,153910.617,527975813.17861,180919
1633518000000,2021-10-06 11:00:00,ETH/USDT,3376.37,3409.91,3362.81,3382.73,72923.033,247273767.59621,101911
1633514400000,2021-10-06 10:00:00,ETH/USDT,3363.88,3394.00,3352.89,3376.34,85813.023,289836939.54881,114836
1633510800000,2021-10-06 09:00:00,ETH/USDT,3379.88,3384.25,3339.67,3363.87,100683.223,338685994.26208,128753
1633507200000,2021-10-06 08:00:00,ETH/USDT,3456.98,3460.73,3354.32,3380.00,185329.027,629889047.93695,215818
1633503600000,2021-10-06 07:00:00,ETH/USDT,3490.33,3490.55,3439.32,3456.84,70099.349,242596534.52267,96683
1633500000000,2021-10-06 06:00:00,ETH/USDT,3493.75,3503.75,3487.50,3490.33,29858.626,104315810.50198,55539
1633496400000,2021-10-06 05:00:00,ETH/USDT,3474.95,3498.64,3456.07,3493.80,57667.814,200554760.01231,85476
1633492800000,2021-10-06 04:00:00,ETH/USDT,3488.04,3495.47,3462.00,3474.94,50831.841,176702271.71732,76315
1633489200000,2021-10-06 03:00:00,ETH/USDT,3504.25,3506.00,3477.22,3488.04,36987.080,129030949.03799,61072
1633485600000,2021-10-06 02:00:00,ETH/USDT,3495.73,3508.00,3485.43,3504.25,31458.326,110035444.36111,57378
1633482000000,2021-10-06 01:00:00,ETH/USDT,3526.26,3526.92,3473.94,3495.73,73851.956,258054488.97704,102745
1633478400000,2021-10-06 00:00:00,ETH/USDT,3517.64,3542.31,3505.13,3526.26,57345.125,202019052.37679,86387
1633474800000,2021-10-05 23:00:00,ETH/USDT,3513.56,3527.65,3509.73,3517.64,28298.341,99616742.64454,54425
1633471200000,2021-10-05 22:00:00,ETH/USDT,3539.10,3549.90,3507.00,3513.55,59287.034,208968930.51983,89424
1633467600000,2021-10-05 21:00:00,ETH/USDT,3526.00,3543.64,3514.90,3539.12,54753.926,193153256.55599,81274
1633464000000,2021-10-05 20:00:00,ETH/USDT,3491.74,3535.30,3490.13,3525.97,108586.642,381338895.87470,149748
1633460400000,2021-10-05 19:00:00,ETH/USDT,3458.27,3499.00,3452.58,3491.64,108159.241,376066356.83832,128053
1633456800000,2021-10-05 18:00:00,ETH/USDT,3435.11,3460.62,3435.07,3458.28,48077.051,165905940.55206,74156
1633453200000,2021-10-05 17:00:00,ETH/USDT,3436.57,3443.71,3422.38,3435.03,27771.614,95345325.02262,50863
1633449600000,2021-10-05 16:00:00,ETH/USDT,3420.80,3439.15,3407.00,3436.57,57271.731,196175782.50618,84209
1633446000000,2021-10-05 15:00:00,ETH/USDT,3431.66,3450.81,3417.30,3420.80,50920.761,174817795.95053,81473
1633442400000,2021-10-05 14:00:00,ETH/USDT,3458.75,3471.99,3414.54,3431.66,100169.443,344612886.56700,130597
1633438800000,2021-10-05 13:00:00,ETH/USDT,3454.99,3464.35,3435.91,3458.75,52585.475,181524891.31754,80699
1633435200000,2021-10-05 12:00:00,ETH/USDT,3447.00,3464.53,3435.42,3454.99,56790.075,195854283.77414,83162
1633431600000,2021-10-05 11:00:00,ETH/USDT,3438.51,3460.60,3435.40,3447.00,61503.639,212177357.01158,81307
1633428000000,2021-10-05 10:00:00,ETH/USDT,3451.54,3475.79,3427.39,3438.50,131490.898,454132179.43702,156231
1633424400000,2021-10-05 09:00:00,ETH/USDT,3418.27,3454.88,3384.82,3451.88,134290.761,459112488.14627,169875
1633420800000,2021-10-05 08:00:00,ETH/USDT,3388.42,3421.00,3381.00,3418.28,59267.931,201465583.74275,91032
1633417200000,2021-10-05 07:00:00,ETH/USDT,3384.30,3406.58,3380.53,3388.42,35196.097,119485204.26792,59304
1633413600000,2021-10-05 06:00:00,ETH/USDT,3384.01,3395.52,3378.77,3384.00,33602.784,113855462.97808,51604
1633410000000,2021-10-05 05:00:00,ETH/USDT,3368.56,3391.00,3365.00,3384.00,29505.366,99762701.00099,51196
1633406400000,2021-10-05 04:00:00,ETH/USDT,3388.65,3396.53,3365.00,3368.57,36248.261,122507270.48536,59198
1633402800000,2021-10-05 03:00:00,ETH/USDT,3390.43,3400.41,3375.23,3388.65,33746.336,114369482.69463,56576
1633399200000,2021-10-05 02:00:00,ETH/USDT,3386.93,3393.56,3371.50,3390.42,40012.725,135347324.69666,67976
1633395600000,2021-10-05 01:00:00,ETH/USDT,3406.80,3415.97,3383.78,3386.82,43012.902,146068668.85277,69076
1633392000000,2021-10-05 00:00:00,ETH/USDT,3386.12,3419.71,3363.56,3406.80,86219.075,292742539.04831,119109
1633388400000,2021-10-04 23:00:00,ETH/USDT,3372.88,3405.08,3370.25,3386.12,51523.933,174709550.37894,85529
1633384800000,2021-10-04 22:00:00,ETH/USDT,3397.62,3410.54,3354.99,3372.65,49824.773,168343933.32438,83936
1633381200000,2021-10-04 21:00:00,ETH/USDT,3384.63,3398.83,3370.00,3397.63,42013.289,142171414.74047,71882
1633377600000,2021-10-04 20:00:00,ETH/USDT,3417.44,3425.00,3382.70,3384.64,47941.643,163172865.58556,76458
1633374000000,2021-10-04 19:00:00,ETH/USDT,3422.22,3434.79,3394.00,3417.43,62627.859,213528508.30900,95336
1633370400000,2021-10-04 18:00:00,ETH/USDT,3411.80,3440.00,3391.35,3422.21,91092.323,311280116.11364,129874
1633366800000,2021-10-04 17:00:00,ETH/USDT,3362.82,3418.00,3333.30,3412.01,132908.550,449060035.49605,164904
1633363200000,2021-10-04 16:00:00,ETH/USDT,3322.63,3399.06,3311.20,3362.81,185665.307,624368497.46717,207543
1633359600000,2021-10-04 15:00:00,ETH/USDT,3319.45,3328.60,3268.81,3322.53,182732.484,603476393.86338,221791
1633356000000,2021-10-04 14:00:00,ETH/USDT,3387.79,3426.00,3296.21,3319.45,218280.826,734586298.70454,265664
1633352400000,2021-10-04 13:00:00,ETH/USDT,3345.10,3397.30,3343.20,3387.95,105230.200,354860341.78054,139838
1633348800000,2021-10-04 12:00:00,ETH/USDT,3314.42,3354.64,3298.42,3345.10,68034.851,226528666.05180,105483
1633345200000,2021-10-04 11:00:00,ETH/USDT,3344.13,3347.89,3289.86,3314.52,92210.093,305769616.57064,124337
1633341600000,2021-10-04 10:00:00,ETH/USDT,3353.76,3358.75,3325.65,3344.13,51308.449,171416606.00934,80417
1633338000000,2021-10-04 09:00:00,ETH/USDT,3350.60,3360.90,3337.22,3353.76,32444.119,108668125.10023,62460
1633334400000,2021-10-04 08:00:00,ETH/USDT,3378.69,3385.27,3337.23,3350.44,59096.772,198607988.46300,89905
1633330800000,2021-10-04 07:00:00,ETH/USDT,3346.52,3382.00,3335.93,3378.75,47765.450,160153152.88854,73039
1633327200000,2021-10-04 06:00:00,ETH/USDT,3364.01,3364.73,3337.22,3346.52,46138.841,154604291.47342,71901
1633323600000,2021-10-04 05:00:00,ETH/USDT,3355.41,3373.17,3355.22,3364.07,35977.345,120998098.63974,60008
1633320000000,2021-10-04 04:00:00,ETH/USDT,3336.47,3363.75,3321.45,3355.41,77616.759,259544573.43947,110967
1633316400000,2021-10-04 03:00:00,ETH/USDT,3360.43,3364.52,3320.00,3336.47,84428.271,282235116.01919,120883
1633312800000,2021-10-04 02:00:00,ETH/USDT,3376.62,3382.54,3351.00,3360.44,56632.336,190600353.25456,89832
1633309200000,2021-10-04 01:00:00,ETH/USDT,3368.14,3397.96,3350.00,3376.43,74517.064,251331718.30631,111646
1633305600000,2021-10-04 00:00:00,ETH/USDT,3418.21,3426.35,3362.07,3367.84,65757.550,223207345.93679,104410
1633302000000,2021-10-03 23:00:00,ETH/USDT,3409.32,3434.44,3400.06,3418.25,35525.156,121478269.41199,66965
1633298400000,2021-10-03 22:00:00,ETH/USDT,3392.25,3435.68,3388.00,3409.03,60929.885,208004671.50855,93128
1633294800000,2021-10-03 21:00:00,ETH/USDT,3422.22,3427.53,3381.23,3392.26,88534.628,301071926.82138,125926
1633291200000,2021-10-03 20:00:00,ETH/USDT,3468.79,3474.31,3421.53,3422.22,53782.448,185484424.27358,82424
1633287600000,2021-10-03 19:00:00,ETH/USDT,3464.69,3489.22,3461.58,3468.50,39701.568,137991066.22862,66267
1633284000000,2021-10-03 18:00:00,ETH/USDT,3465.47,3487.30,3442.50,3464.69,96486.781,334724246.41626,140527
1633280400000,2021-10-03 17:00:00,ETH/USDT,3419.87,3488.00,3403.58,3465.15,127153.575,438374297.51281,152820
1633276800000,2021-10-03 16:00:00,ETH/USDT,3403.81,3427.49,3400.45,3419.88,41351.698,141209414.48422,72001
1633273200000,2021-10-03 15:00:00,ETH/USDT,3425.41,3428.00,3392.65,3403.82,48685.619,165867447.03338,81239
1633269600000,2021-10-03 14:00:00,ETH/USDT,3436.45,3440.44,3415.22,3425.41,38829.526,133072022.19600,65142
1633266000000,2021-10-03 13:00:00,ETH/USDT,3408.71,3448.66,3401.53,3436.44,75060.521,257556951.61372,108848
1633262400000,2021-10-03 12:00:00,ETH/USDT,3414.11,3425.75,3401.07,3408.70,36085.455,123192372.04739,63114
1633258800000,2021-10-03 11:00:00,ETH/USDT,3391.23,3422.97,3386.45,3414.11,44835.882,152868794.85837,76497
1633255200000,2021-10-03 10:00:00,ETH/USDT,3391.58,3408.00,3378.80,3391.15,39031.142,132504192.54855,70745
1633251600000,2021-10-03 09:00:00,ETH/USDT,3392.20,3394.50,3370.00,3391.65,61844.291,209150520.38065,93948
1633248000000,2021-10-03 08:00:00,ETH/USDT,3392.92,3414.84,3389.50,3392.19,32070.364,109087164.81338,63074
1633244400000,2021-10-03 07:00:00,ETH/USDT,3412.49,3413.43,3387.75,3392.92,32904.905,111797596.03100,64008
1633240800000,2021-10-03 06:00:00,ETH/USDT,3418.65,3419.06,3404.06,3412.53,28186.490,96140139.92055,61789
1633237200000,2021-10-03 05:00:00,ETH/USDT,3398.68,3427.66,3394.20,3418.65,38984.978,133106990.40511,72842
1633233600000,2021-10-03 04:00:00,ETH/USDT,3405.81,3409.69,3392.44,3398.68,27078.554,92090858.59959,54485
1633230000000,2021-10-03 03:00:00,ETH/USDT,3399.50,3408.69,3381.18,3405.72,43844.365,148750445.12354,71912
1633226400000,2021-10-03 02:00:00,ETH/USDT,3388.36,3425.00,3384.52,3399.49,58067.515,198057741.59526,90073
1633222800000,2021-10-03 01:00:00,ETH/USDT,3364.88,3398.00,3360.00,3388.07,57735.957,195070742.83595,80642
1633219200000,2021-10-03 00:00:00,ETH/USDT,3387.24,3412.00,3340.00,3364.77,107293.306,362501964.32616,142513
1633215600000,2021-10-02 23:00:00,ETH/USDT,3423.21,3434.78,3365.01,3387.25,113893.164,386084958.86646,140543
1633212000000,2021-10-02 22:00:00,ETH/USDT,3447.57,3471.58,3422.09,3423.22,58863.368,202939536.55467,80677
1633208400000,2021-10-02 21:00:00,ETH/USDT,3426.01,3450.00,3425.48,3447.56,24018.412,82548183.06471,52520
1633204800000,2021-10-02 20:00:00,ETH/USDT,3467.02,3468.00,3420.44,3426.01,54955.551,188877455.40946,83787
1633201200000,2021-10-02 19:00:00,ETH/USDT,3438.03,3467.29,3436.71,3467.02,61940.315,213561161.31140,93061
1633197600000,2021-10-02 18:00:00,ETH/USDT,3429.02,3443.96,3410.00,3438.16,58386.582,200202562.50244,82350
1633194000000,2021-10-02 17:00:00,ETH/USDT,3433.65,3446.50,3416.09,3429.01,78073.458,267990063.89399,111760
1633190400000,2021-10-02 16:00:00,ETH/USDT,3386.26,3434.69,3370.17,3433.65,138793.179,472720737.87939,176094
1633186800000,2021-10-02 15:00:00,ETH/USDT,3367.63,3399.00,3356.99,3386.40,109894.509,371185811.74829,149541
1633183200000,2021-10-02 14:00:00,ETH/USDT,3313.59,3376.92,3312.43,3367.63,140008.706,467969339.65175,171357
1633179600000,2021-10-02 13:00:00,ETH/USDT,3299.86,3350.00,3292.93,3313.60,131691.500,436938113.30054,167507
1633176000000,2021-10-02 12:00:00,ETH/USDT,3296.35,3309.90,3288.43,3299.86,45984.016,151748289.37005,73919
1633172400000,2021-10-02 11:00:00,ETH/USDT,3284.60,3299.88,3267.00,3296.35,40370.476,132552453.03291,66682
1633168800000,2021-10-02 10:00:00,ETH/USDT,3299.19,3299.53,3276.02,3284.60,37240.709,122343819.69315,61980
1633165200000,2021-10-02 09:00:00,ETH/USDT,3284.61,3319.00,3281.70,3299.20,55229.053,182312627.70564,83467
1633161600000,2021-10-02 08:00:00,ETH/USDT,3279.14,3289.76,3263.17,3284.40,39519.140,129444938.09556,69338
1633158000000,2021-10-02 07:00:00,ETH/USDT,3283.39,3292.97,3276.00,3279.07,35313.514,115965634.84081,55801
1633154400000,2021-10-02 06:00:00,ETH/USDT,3280.15,3293.35,3272.14,3283.52,31039.223,101856276.55254,51952
1633150800000,2021-10-02 05:00:00,ETH/USDT,3272.80,3298.00,3265.58,3280.01,44480.473,146081380.27836,62017
1633147200000,2021-10-02 04:00:00,ETH/USDT,3267.34,3280.00,3257.05,3272.44,37596.295,122866328.64084,61263
1633143600000,2021-10-02 03:00:00,ETH/USDT,3290.21,3295.47,3261.34,3267.18,51315.895,168148729.35414,76825
1633140000000,2021-10-02 02:00:00,ETH/USDT,3296.07,3309.95,3286.01,3290.21,37302.840,122977203.11540,61555
1633136400000,2021-10-02 01:00:00,ETH/USDT,3293.72,3345.00,3282.41,3296.07,92686.604,307434309.25384,121767
1633132800000,2021-10-02 00:00:00,ETH/USDT,3308.59,3318.60,3273.82,3293.72,68741.903,226260688.39092,101933
1633129200000,2021-10-01 23:00:00,ETH/USDT,3285.96,3309.95,3279.18,3308.58,35675.001,117502306.66739,56112
1633125600000,2021-10-01 22:00:00,ETH/USDT,3323.84,3325.60,3270.00,3285.97,69376.908,228657424.25375,102221
1633122000000,2021-10-01 21:00:00,ETH/USDT,3289.33,3331.56,3280.72,3323.66,67641.511,224056272.71117,98707
1633118400000,2021-10-01 20:00:00,ETH/USDT,3296.82,3315.00,3275.17,3289.32,74087.337,244016203.37694,94810
1633114800000,2021-10-01 19:00:00,ETH/USDT,3291.32,3321.00,3282.10,3296.80,75615.770,249382917.70134,105830
1633111200000,2021-10-01 18:00:00,ETH/USDT,3274.43,3298.88,3253.00,3291.32,75583.793,248033715.82040,112137
1633107600000,2021-10-01 17:00:00,ETH/USDT,3275.01,3285.00,3259.81,3274.43,61571.154,201376236.29797,94236
1633104000000,2021-10-01 16:00:00,ETH/USDT,3235.99,3277.99,3222.88,3275.01,117129.760,381018003.18514,147859
1633100400000,2021-10-01 15:00:00,ETH/USDT,3211.55,3241.41,3205.64,3235.99,74738.299,241093747.46418,102212
1633096800000,2021-10-01 14:00:00,ETH/USDT,3200.22,3225.92,3176.06,3211.55,134765.653,431515990.54853,153379
1633093200000,2021-10-01 13:00:00,ETH/USDT,3222.28,3233.74,3200.00,3200.24,88693.580,285429288.80229,109093
1633089600000,2021-10-01 12:00:00,ETH/USDT,3235.38,3279.91,3218.01,3222.29,179277.036,582229088.21058,210341
1633086000000,2021-10-01 11:00:00,ETH/USDT,3205.94,3248.16,3200.01,3235.38,131916.895,425619126.05412,174336
1633082400000,2021-10-01 10:00:00,ETH/USDT,3114.05,3250.00,3105.50,3205.78,389530.879,1242072818.21237,410068
1633078800000,2021-10-01 09:00:00,ETH/USDT,3119.89,3137.12,3107.18,3114.04,83554.421,260577338.67043,108921
1633075200000,2021-10-01 08:00:00,ETH/USDT,3089.78,3125.00,3089.77,3120.04,145923.440,453285444.38846,169168
1633071600000,2021-10-01 07:00:00,ETH/USDT,3024.32,3096.95,3013.00,3089.65,184722.048,565997871.65792,214769
1633068000000,2021-10-01 06:00:00,ETH/USDT,3016.00,3028.00,3003.31,3024.32,59414.520,179266801.36064,85978
1633064400000,2021-10-01 05:00:00,ETH/USDT,2998.43,3019.44,2990.33,3015.94,44263.843,133186735.93101,68084
1633060800000,2021-10-01 04:00:00,ETH/USDT,3000.52,3017.42,2987.00,2998.30,47804.664,143431966.07552,76472
1633057200000,2021-10-01 03:00:00,ETH/USDT,2987.80,3009.95,2967.10,3000.19,59710.815,178806033.16764,92142
1633053600000,2021-10-01 02:00:00,ETH/USDT,3020.45,3028.17,2974.77,2987.79,62175.951,186390674.89314,91588
1633050000000,2021-10-01 01:00:00,ETH/USDT,3017.91,3028.59,2996.00,3020.45,55313.076,166590866.79094,86086
1633046400000,2021-10-01 00:00:00,ETH/USDT,2999.45,3040.54,2995.88,3017.92,95715.822,288914476.10388,126679
1633042800000,2021-09-30 23:00:00,ETH/USDT,3002.11,3011.22,2982.56,2999.45,45838.114,137410549.82652,70687
1633039200000,2021-09-30 22:00:00,ETH/USDT,3003.02,3020.93,2991.75,3002.12,43774.445,131557719.15188,72867
1633035600000,2021-09-30 21:00:00,ETH/USDT,2970.68,3008.89,2965.00,3003.02,43350.448,129414872.90136,68113
1633032000000,2021-09-30 20:00:00,ETH/USDT,2990.92,3014.10,2953.46,2970.77,88005.478,262198491.59606,119395
