date,i
2019-07-17,39
2019-07-18,34
2019-07-19,30.2
2019-07-20,33.8
2019-07-21,35.4
2019-07-22,40
2019-07-23,40
2019-07-24,35.6
2019-07-25,37.2
2019-07-26,33.6
2019-07-27,34.6
2019-07-28,29.8
2019-07-29,29.6
2019-07-30,25.6
2019-07-31,27
2019-08-01,29
2019-08-02,38
2019-08-03,46.4
2019-08-04,54.4
2019-08-05,61
2019-08-06,62.8
2019-08-07,59.6
2019-08-08,59.6
2019-08-09,59.2
2019-08-10,58.2
2019-08-11,54
2019-08-12,54.6
2019-08-13,51.4
2019-08-14,41.6
2019-08-15,32.4
2019-08-16,29.6
2019-08-17,24
2019-08-18,17.8
2019-08-19,21.6
2019-08-20,26.8
2019-08-21,22.8
2019-08-22,19.8
2019-08-23,23.6
2019-08-24,25.4
2019-08-25,24.2
2019-08-26,30.2
2019-08-27,35.2
2019-08-28,35
2019-08-29,31.2
2019-08-30,29.4
2019-08-31,25.2
2019-09-01,24
2019-09-02,23.2
2019-09-03,27.4
2019-09-04,31.2
2019-09-05,35.4
2019-09-06,39.2
2019-09-07,41.4
2019-09-08,41.8
2019-09-09,41.4
2019-09-10,41.4
2019-09-11,40.4
2019-09-12,40.4
2019-09-13,39.4
2019-09-14,39
2019-09-15,38.4
2019-09-16,38.4
2019-09-17,38.8
2019-09-18,38.8
2019-09-19,37.2
2019-09-20,37.8
2019-09-21,37.6
2019-09-22,36.8
2019-09-23,37.4
2019-09-24,39
2019-09-25,33.8
2019-09-26,28.8
2019-09-27,26.2
2019-09-28,24.4
2019-09-29,23.2
2019-09-30,25.6
2019-10-01,30.8
2019-10-02,33.8
2019-10-03,34.8
2019-10-04,34.2
2019-10-05,35
2019-10-06,33.8
2019-10-07,31.4
2019-10-08,31.8
2019-10-09,33.2
2019-10-10,35.2
2019-10-11,36.6
2019-10-12,38.8
2019-10-13,38.6
2019-10-14,38.6
2019-10-15,38.2
2019-10-16,38.4
2019-10-17,38.8
2019-10-18,39.2
2019-10-19,40
2019-10-20,39.6
2019-10-21,39
2019-10-22,38.8
2019-10-23,37.4
2019-10-24,33.2
2019-10-25,30.6
2019-10-26,33.8
2019-10-27,36
2019-10-28,39.8
2019-10-29,46.6
2019-10-30,52.4
2019-10-31,51.8
2019-11-01,51.6
2019-11-02,51.4
2019-11-03,51.8
2019-11-04,51
2019-11-05,51.8
2019-11-06,52.6
2019-11-07,53.2
2019-11-08,50.4
2019-11-09,48.2
2019-11-10,45.2
2019-11-11,42.6
2019-11-12,39.6
2019-11-13,38.8
2019-11-14,39.4
2019-11-15,39.2
2019-11-16,39.4
2019-11-17,39.2
2019-11-18,39.2
2019-11-19,37.4
2019-11-20,36.2
2019-11-21,34
2019-11-22,30.4
2019-11-23,27.4
2019-11-24,25.2
2019-11-25,22.2
2019-11-26,20.4
2019-11-27,20.4
2019-11-28,22.2
2019-11-29,24.2
2019-11-30,28.4
2019-12-01,29.2
2019-12-02,30.8
2019-12-03,30
2019-12-04,28.6
2019-12-05,25.2
2019-12-06,26
2019-12-07,26.8
2019-12-08,26.8
2019-12-09,28.4
2019-12-10,29.4
2019-12-11,27.6
2019-12-12,25.8
2019-12-13,24.6
2019-12-14,23.6
2019-12-15,22.6
2019-12-16,23.4
2019-12-17,23.4
2019-12-18,22
2019-12-19,20.8
2019-12-20,21.2
2019-12-21,21
2019-12-22,20.4
2019-12-23,24
2019-12-24,24.8
2019-12-25,24.6
2019-12-26,27.8
2019-12-27,31.4
2019-12-28,32.2
2019-12-29,34.6
2019-12-30,38.2
2019-12-31,38
2020-01-01,37.8
2020-01-02,38.2
2020-01-03,38.4
2020-01-04,38
2020-01-05,38.2
2020-01-06,39
2020-01-07,39.2
2020-01-08,41.8
2020-01-09,43
2020-01-10,43.4
2020-01-11,45.2
2020-01-12,46.2
2020-01-13,45.8
2020-01-14,48.2
2020-01-15,50.8
